t,USA ,CAN ,WEU ,JPK ,ANZ ,EEU ,FSU ,MDE ,CAM ,SAM ,SAS ,SEA ,CHI ,NAF ,SSA ,SIS 
1950,0.66,0.6,0.6,1.42,1.05,0.8,1.21,2.75,1.12,0.97,1.76,1.65,1.23,1.23,1.53,1.25
1960,0.74,0.7,0.59,1.16,1.06,0.7,1.03,1.91,1.08,0.98,1.51,1.33,0.46,1.32,1.36,1.02
1970,0.71,0.68,0.59,0.79,1.11,0.65,1,1.41,1.15,1.01,1.39,1.03,0.62,1.06,1.17,0.87
1980,0.79,0.73,0.65,0.86,1.11,0.66,0.99,1.34,1.04,1.09,1.14,1.08,0.6,0.99,1.1,0.85
1990,0.96,0.98,0.9,1.04,0.98,0.86,1.2,1.09,1.01,1.04,1.02,1.11,0.81,1.04,0.99,1.06
2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2020,1.23,1.22,1.22,1.2,1.22,1.26,1.19,1.15,1.22,1.21,1.26,1.22,1.38,1.21,1.23,1.17
2030,1.49,1.48,1.48,1.45,1.48,1.72,1.63,1.59,1.54,1.52,1.74,1.69,1.91,1.52,1.55,1.47
2040,1.84,1.82,1.82,1.78,1.82,2.38,2.25,2.34,1.99,1.97,2.57,2.5,2.82,1.97,2.01,1.9
2050,2.21,2.2,2.19,2.15,2.2,3.34,3.16,3.46,2.64,2.61,3.8,3.69,4.16,2.61,2.66,2.52
2060,2.6,2.58,2.58,2.53,2.58,4.62,4.38,4.89,3.6,3.56,5.38,5.22,5.89,3.56,3.63,3.44
2070,3.02,3,2.99,2.93,3,6.38,6.04,6.71,4.94,4.88,7.38,7.16,8.08,4.88,4.98,4.72
2080,3.52,3.49,3.48,3.42,3.49,8.64,8.18,8.96,6.66,6.58,9.85,9.56,10.79,6.58,6.71,6.36
2090,4.07,4.04,4.03,3.95,4.04,11.41,10.8,11.62,8.94,8.85,12.78,12.4,13.99,8.85,9.02,8.55
2100,4.61,4.58,4.56,4.48,4.57,14.43,13.66,14.6,11.52,11.39,16.05,15.57,17.57,11.39,11.61,11.01
2110,5.08,5.04,5.03,4.93,5.04,17.47,16.54,17.67,13.95,13.79,19.44,18.86,21.28,13.79,14.06,13.33
2120,5.57,5.53,5.51,5.41,5.53,20.85,19.74,21.09,16.64,16.46,23.19,22.5,25.39,16.46,16.78,15.91
2130,6.08,6.04,6.02,5.9,6.03,24.52,23.2,24.8,19.57,19.35,27.27,26.46,29.85,19.35,19.73,18.71
2140,6.6,6.55,6.53,6.41,6.55,28.4,26.88,28.73,22.67,22.42,31.59,30.65,34.58,22.42,22.85,21.67
2150,7.14,7.08,7.06,6.93,7.08,32.42,30.69,32.8,25.88,25.59,36.06,34.99,39.48,25.59,26.09,24.74
2160,7.67,7.61,7.59,7.45,7.61,36.47,34.52,36.89,29.11,28.78,40.56,39.36,44.4,28.78,29.34,27.83
2170,8.21,8.15,8.12,7.97,8.14,40.41,38.25,40.88,32.26,31.9,44.95,43.61,49.2,31.9,32.52,30.84
2180,8.74,8.67,8.64,8.48,8.67,44.13,41.76,44.63,35.22,34.83,49.08,47.62,53.72,34.83,35.5,33.67
2190,9.26,9.19,9.16,8.99,9.18,47.47,44.92,48.01,37.89,37.46,52.79,51.23,57.79,37.46,38.19,36.22
2200,9.76,9.68,9.65,9.47,9.68,50.31,47.61,50.88,40.15,39.7,55.95,54.29,61.25,39.71,40.47,38.39
2210,10.26,10.18,10.14,9.96,10.18,52.88,50.05,53.48,42.2,41.73,58.81,57.06,64.38,41.74,42.54,40.35
2220,10.78,10.7,10.66,10.47,10.7,55.58,52.6,56.22,44.36,43.87,61.82,59.98,67.67,43.87,44.72,42.41
2230,11.33,11.24,11.21,11,11.24,58.42,55.3,59.09,46.63,46.11,64.98,63.05,71.13,46.11,47.01,44.58
2240,11.91,11.82,11.78,11.56,11.82,61.41,58.12,62.11,49.02,48.47,68.3,66.28,74.77,48.47,49.41,46.86
2250,12.52,12.42,12.38,12.16,12.42,64.55,61.1,65.29,51.52,50.95,71.8,69.66,78.59,50.95,51.94,49.26
2260,13.16,13.06,13.02,12.78,13.06,67.85,64.22,68.63,54.16,53.55,75.47,73.23,82.61,53.56,54.59,51.78
2270,13.83,13.73,13.68,13.43,13.73,71.32,67.5,72.14,56.93,56.29,79.33,76.97,86.84,56.3,57.39,54.42
2280,14.54,14.43,14.38,14.12,14.43,74.97,70.96,75.83,59.84,59.17,83.39,80.91,91.28,59.17,60.32,57.21
2290,15.28,15.17,15.12,14.84,15.17,78.81,74.58,79.71,62.9,62.2,87.65,85.05,95.95,62.2,63.4,60.13
2300,16.07,15.94,15.89,15.6,15.94,82.84,78.4,83.78,66.12,65.38,92.13,89.4,100.85,65.38,66.65,63.21
